rank,symbol,name,industry,score_total,score_revenue,score_expectation_gap,score_price_volume,score_theme_group,score_chip,score_catalyst,risk_penalty,score_raw_available_norm,score_coverage_adjusted,score_cap,stage,entry_zone,reasons,risk_flags,last_close,ret_20d,ret_60d,volume_z_20,volume_expansion_ratio,rs_20d,rs_60d,breakout_flag,breakout_120d_flag,ma_alignment_bull_flag,mode,score_data_coverage_ratio,robot_slot_coverage_ratio,robot_slot_statuses,available_radars,degraded_radars,core_data_ready_flag,created_at
1,3088,艾訊,,36.6,,100.0,83.0,,,,0.0,91.5,36.6,70.0,S2,early_watch,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.0 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",108.0,0.3449564134495642,0.24855491329479773,1.4987712305428975,2.0353387429097762,,,1,1,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
2,3577,泓格,,36.6,,100.0,83.0,,,,0.0,91.5,36.6,70.0,S2,early_watch,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.2 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",87.3,0.24182076813655762,0.37697160883280745,2.2296679767984333,2.154379062353261,,,1,1,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
3,5443,均豪,,36.6,,100.0,83.0,,,,0.0,91.5,36.6,70.0,S2,early_watch,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",129.5,0.3002008032128516,0.39097744360902253,2.1830401146594776,2.2930085433932037,,,1,1,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
4,5464,霖宏,,36.6,,100.0,83.0,,,,0.0,91.5,36.6,70.0,S2,early_watch,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",33.0,0.17229129662522213,0.2815533980582525,2.1996199447736666,2.280632464038206,,,1,1,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
5,5864,致和證,,36.6,,100.0,83.0,,,,0.0,91.5,36.6,70.0,S2,early_watch,"[""突破 120 日整理區"", ""成交量為 20 日均量 1.7 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",28.5,0.22317596566523612,0.3411764705882352,1.2390805801556883,1.6861020704601937,,,1,1,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
6,5904,寶雅,,36.6,,100.0,83.0,,,,0.0,91.5,36.6,70.0,S2,early_watch,"[""突破 120 日整理區"", ""成交量為 20 日均量 1.7 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",575.0,0.16514690982776092,0.43034825870646776,1.0110427559347883,1.7157310871853104,,,1,1,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
7,6197,佳必琪,,36.6,,100.0,83.0,,,,0.0,91.5,36.6,70.0,S2,early_watch,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",208.0,0.3123028391167193,0.4054054054054055,1.953959783270266,2.3015099213403034,,,1,1,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
8,3680,家登,,33.6,,85.0,83.0,,,,0.0,84.0,33.6,70.0,S2,early_watch,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.1 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",537.0,0.42629482071713154,0.22742857142857154,1.813053426391964,2.0976725631260056,,,1,1,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
9,2465,麗臺,,31.6,,85.0,73.0,,,,0.0,79.0,31.6,70.0,S2,early_watch,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.2 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",74.0,0.42307692307692313,0.3120567020914957,1.2448988522982483,2.156927664216472,,,1,1,0,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
10,3260,威剛,,27.6,,100.0,38.0,,,,0.0,69.0,27.6,70.0,S2,early_watch,"[""成交量為 20 日均量 1.2 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",436.0,0.30149253731343273,0.4704890387858347,0.47520490971369705,1.2151517279677024,,,0,0,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
