rank,symbol,name,industry,score_total,score_revenue,score_expectation_gap,score_price_volume,score_theme_group,score_chip,score_catalyst,risk_penalty,stage,entry_zone,reasons,risk_flags,last_close,ret_20d,ret_60d,volume_z_20,rs_20d,rs_60d,breakout_flag,created_at
1,5443,均豪,半導體業,93.8182,,100.0,83.0,100.0,,,0.0,S3,candidate_entry,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",129.5,0.3002008032128516,0.39097744360902253,2.1830401146594776,,,1,2026-05-10T21:50:52
2,5464,霖宏,電子零組件業,92.2319,,100.0,83.0,94.1835,,,0.0,S3,candidate_entry,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",33.0,0.17229129662522213,0.2815533980582525,2.1996199447736666,,,1,2026-05-10T21:50:52
3,6197,佳必琪,電子零組件業,92.2319,,100.0,83.0,94.1835,,,0.0,S3,candidate_entry,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",208.0,0.3123028391167193,0.4054054054054055,1.953959783270266,,,1,2026-05-10T21:50:52
4,3088,艾訊,電腦及週邊設備業,90.3355,,100.0,83.0,87.2302,,,0.0,S3,candidate_entry,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.0 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",108.0,0.3449564134495642,0.24855491329479773,1.4987712305428975,,,1,2026-05-10T21:50:52
5,3577,泓格,電腦及週邊設備業,90.3355,,100.0,83.0,87.2302,,,0.0,S3,candidate_entry,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.2 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",87.3,0.24182076813655762,0.37697160883280745,2.2296679767984333,,,1,2026-05-10T21:50:52
6,3680,家登,半導體業,88.3636,,85.0,83.0,100.0,,,0.0,S3,candidate_entry,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.1 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",537.0,0.42629482071713154,0.22742857142857154,1.813053426391964,,,1,2026-05-10T21:50:52
7,5864,致和證,金融業,83.1579,,100.0,83.0,60.9123,,,0.0,S3,candidate_entry,"[""突破 120 日整理區"", ""成交量為 20 日均量 1.7 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",28.5,0.22317596566523612,0.3411764705882352,1.2390805801556883,,,1,2026-05-10T21:50:52
8,5904,寶雅,居家生活類,81.6788,,100.0,83.0,55.489,,,0.0,S3,candidate_entry,"[""突破 120 日整理區"", ""成交量為 20 日均量 1.7 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",575.0,0.16514690982776092,0.43034825870646776,1.0110427559347883,,,1,2026-05-10T21:50:52
9,2465,麗臺,電腦及週邊設備業,81.2446,,85.0,73.0,87.2302,,,0.0,S3,candidate_entry,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.2 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",74.0,0.42307692307692313,0.3120567020914957,1.2448988522982483,,,1,2026-05-10T21:50:52
10,4540,全球傳動,電機機械,78.3335,,85.0,83.0,92.5561,,,8.0,S3,candidate_entry,"[""突破 120 日整理區"", ""成交量為 20 日均量 3.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""近 20 日漲幅偏高"", ""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",68.5,0.6646414935591411,0.41237113402061865,2.4866950543678015,,,1,2026-05-10T21:50:52
