rank,symbol,name,industry,universe_mode,score_total,score_raw_available_norm,score_coverage_adjusted,score_cap,data_coverage_ratio,available_radars,degraded_radars,core_data_ready_flag,score_revenue,score_expectation_gap,expectation_gap_source,score_price_volume,score_theme_group,score_chip,score_catalyst,risk_penalty,stage,entry_zone,reasons,risk_flags,last_close,avg_amount_20,ret_20d,ret_60d,ret_120d,volume_z_20,volume_expansion_ratio,rs_20d,rs_60d,breakout_flag,breakout_60d_flag,breakout_120d_flag,rev_1m_yoy,rev_3m_yoy,rev_6m_yoy,rev_3m_vs_12m_acceleration,latest_revenue_month,latest_revenue_release_date,foreign_buy_5d,investment_trust_buy_5d,inst_buy_total_20d,margin_change_20d,next_catalyst_date,next_catalyst_category,data_quality_flags,survivorship_bias_warning,price_data_source,revenue_data_source,chip_data_source,created_at
1,5904,寶雅,居家生活類,elastic,48.6,88.3636,48.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,100.0,price_only,83.0,80.0,,,0.0,S1,new_observation,"[""120D breakout"", ""volume expansion 1.7x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",575.0,261740629.9,0.16514690982776092,0.43034825870646776,0.24056094929881344,1.0110427559347883,1.7157310871853104,,,1,1,1,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
2,3088,艾訊,電腦及週邊設備業,elastic,47.85,87.0,47.85,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,100.0,price_only,83.0,75.0,,,0.0,S1,new_observation,"[""120D breakout"", ""volume expansion 2.0x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",108.0,171009503.6,0.3449564134495642,0.24855491329479773,0.31868131868131866,1.4987712305428975,2.0353387429097762,,,1,1,1,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
3,5864,致和證,金融業,elastic,46.35,84.2727,46.35,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,100.0,price_only,83.0,65.0,,,0.0,S1,new_observation,"[""120D breakout"", ""volume expansion 1.7x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",28.5,79112860.3,0.22317596566523612,0.3411764705882352,0.7924528301886793,1.2390805801556883,1.6861020704601937,,,1,1,1,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
4,3577,泓格,電腦及週邊設備業,elastic,45.6,82.9091,45.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,100.0,price_only,83.0,60.0,,,0.0,S1,new_observation,"[""120D breakout"", ""volume expansion 2.2x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",87.3,20326128.5,0.24182076813655762,0.37697160883280745,0.32272727272727275,2.2296679767984333,2.154379062353261,,,1,1,1,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
5,5443,均豪,半導體業,elastic,45.6,82.9091,45.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,100.0,price_only,83.0,60.0,,,0.0,S1,new_observation,"[""120D breakout"", ""volume expansion 2.3x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",129.5,1279816819.85,0.3002008032128516,0.39097744360902253,0.3820704375667021,2.1830401146594776,2.2930085433932037,,,1,1,1,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
6,5464,霖宏,電子零組件業,elastic,45.6,82.9091,45.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,100.0,price_only,83.0,60.0,,,0.0,S1,new_observation,"[""120D breakout"", ""volume expansion 2.3x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",33.0,11723855.0,0.17229129662522213,0.2815533980582525,0.27413127413127425,2.1996199447736666,2.280632464038206,,,1,1,1,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
7,6197,佳必琪,電子零組件業,elastic,45.6,82.9091,45.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,100.0,price_only,83.0,60.0,,,0.0,S1,new_observation,"[""120D breakout"", ""volume expansion 2.3x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",208.0,949561233.475,0.3123028391167193,0.4054054054054055,0.2271386430678466,1.953959783270266,2.3015099213403034,,,1,1,1,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
8,3680,家登,半導體業,elastic,41.6,75.6364,41.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,80.0,price_only,83.0,60.0,,,0.0,S1,new_observation,"[""120D breakout"", ""volume expansion 2.1x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",537.0,1813960034.3,0.42629482071713154,0.22742857142857154,0.6523076923076923,1.813053426391964,2.0976725631260056,,,1,1,1,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
9,2465,麗臺,電腦及週邊設備業,elastic,39.6,72.0,39.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,80.0,price_only,73.0,60.0,,,0.0,S1,new_observation,"[""120D breakout"", ""volume expansion 2.2x 20D average"", ""price is above MA20 and MA60"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",74.0,132492244.34523335,0.42307692307692313,0.3120567020914957,0.09467458092220205,1.2448988522982483,2.156927664216472,,,1,1,1,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
10,6207,雷科,電子零組件業,elastic,37.6,68.3636,37.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,95.0,price_only,48.0,60.0,,,0.0,S1,new_observation,"[""120D breakout"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",64.5,189471135.15,0.3083164300202841,0.18131868131868134,0.21240601503759393,3.5711343302240373,4.6242903704449585,,,1,1,1,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
